Turn| Alive |infected|  Dead |Survivors| Cured |Vaccines|        City        |Event
   1|  28650|    3390|    226|        0|      0|       0|   Alice Springs    |The city has its first infected case
   2| 178875|      55|      5|        0|      0|       0|     Townsville     |The city has its first infected case
   2| 145927|      55|      5|        0|      0|       0|       Darwin       |The city has its first infected case
   2| 114035|      55|      5|        0|      0|       0|     Toowoomba      |The city has its first infected case
   2|  37136|      55|      5|        0|      0|       0|       Dubbo        |The city has its first infected case
   2|  30693|      55|      5|        0|      0|       0| Kalgoorlie Boulder |The city has its first infected case
   2|  14226|      55|      5|        0|      0|       0|    Port Augusta    |The city has its first infected case
   3|  23833|   23833|   3567|        0|      0|       0|   Alice Springs    |Everyone in the city is infected
   4|2360241|       0|      3|        0|      0|       0|      Brisbane      |The city has its first infected case
   4|2360241|       0|      3|        0|      0|       0|      Brisbane      |The city has become infection free
   4|2022044|       0|      2|        0|      0|       0|       Perth        |The city has its first infected case
   4|2022044|       0|      2|        0|      0|       0|       Perth        |The city has become infection free
   4|1324279|       0|      2|        0|      0|       0|      Adelaide      |The city has its first infected case
   4|1324279|       0|      2|        0|      0|       0|      Adelaide      |The city has become infection free
   4| 436171|       0|      1|        0|      0|       0|     Newcastle      |The city has its first infected case
   4| 436171|       0|      1|        0|      0|       0|     Newcastle      |The city has become infection free
   4| 317404|       0|      3|        0|      0|       0|   Sunshine Coast   |The city has its first infected case
   4| 317404|       0|      3|        0|      0|       0|   Sunshine Coast   |The city has become infection free
   4| 150042|       5|      5|        0|      0|       0|       Cairns       |The city has its first infected case
   4|  39755|       0|      1|        0|      0|       0|  Bathurst Orange   |The city has its first infected case
   4|  39755|       0|      1|        0|      0|       0|  Bathurst Orange   |The city has become infection free
   4|  80755|       0|      3|        0|      0|       0|       Mackay       |The city has its first infected case
   4|  80755|       0|      3|        0|      0|       0|       Mackay       |The city has become infection free
   4|  55960|       0|      1|        0|      0|       0|    Wagga Wagga     |The city has its first infected case
   4|  55960|       0|      1|        0|      0|       0|    Wagga Wagga     |The city has become infection free
   4|  50998|       0|      3|        0|      0|       0|      Mildura       |The city has its first infected case
   4|  50998|       0|      3|        0|      0|       0|      Mildura       |The city has become infection free
   4|  41978|       0|      1|        0|      0|       0|      Tamworth      |The city has its first infected case
   4|  41978|       0|      1|        0|      0|       0|      Tamworth      |The city has become infection free
   4|  38289|       0|      2|        0|      0|       0|     Geraldton      |The city has its first infected case
   4|  38289|       0|      2|        0|      0|       0|     Geraldton      |The city has become infection free
   4|  33915|       0|      2|        0|      0|       0|       Albany       |The city has its first infected case
   4|  33915|       0|      2|        0|      0|       0|       Albany       |The city has become infection free
   4|  16099|   16099|   8933|        0|      0|       0|   Alice Springs    |Everyone in the city is dead
   4|  14776|       0|      3|        0|      0|       0|       Broome       |The city has its first infected case
   4|  14776|       0|      3|        0|      0|       0|       Broome       |The city has become infection free
   5|  10932|   10932|  12577|        0|      0|       0|   Alice Springs    |Everyone in the city is dead
   6|   7638|    7638|  15122|        0|      0|       0|   Alice Springs    |Everyone in the city is dead
   6|  11487|   11487|   2580|        0|      0|       0|    Port Augusta    |Everyone in the city is infected
   7|5029768|       0|      3|        0|      0|       0|       Sydney       |The city has its first infected case
   7|5029768|       0|      3|        0|      0|       0|       Sydney       |The city has become infection free
   7| 646983|       0|      5|        0|      0|       0|     Gold Coast     |The city has its first infected case
   7| 646983|       0|      5|        0|      0|       0|     Gold Coast     |The city has become infection free
   7| 435019|       0|      1|        0|      0|       0|      Canberra      |The city has its first infected case
   7| 435019|       0|      1|        0|      0|       0|      Canberra      |The city has become infection free
   7|  90576|       0|      4|        0|      0|       0|   Albury Wodonga   |The city has its first infected case
